id,title,type,age,description,address,city,state,zip_code,latitude,longitude,sale_price,rent_price,area,rooms,bath_rooms,image_links,owner_id
268,ut dolor morbi,Sonair,61,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",32 Petterle Trail,Arlington,VA,22219,40.710700,-74.213100,13341235.34,6786.91,6116.35,8,4,,109
269,amet,Sonair,30,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",73185 Roxbury Street,Moorhead,MN,56563,29.834000,-95.434200,26404166.69,3524.91,1970.26,6,3,,174
270,praesent blandit,Zathin,71,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",5677 Kipling Terrace,Suffolk,VA,23436,25.813000,-80.232000,23095490.47,7989.37,8575.25,5,3,,81
271,nulla tempus,Konklux,29,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",57 Farragut Hill,Afton,WY,83110,39.520700,-77.916200,6479781.00,2725.54,4534.38,5,3,,130
272,primis in faucibus,Sonsing,69,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",6402 International Lane,San Carlos,CA,94070,33.016900,-116.846000,28468834.38,3646.92,8276.73,8,5,,256
273,lectus,Greenlam,65,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,2701 Green Ridge Place,New Orleans,LA,70161,36.038400,-115.085700,7592030.95,589.57,5935.52,9,2,,211
274,tempus vel pede,Trippledex,96,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",0567 Shelley Point,Wellington,IL,60973,44.806000,-93.140900,7310618.52,6512.22,3372.22,9,4,,295
278,duis at,Mat Lam Tam,51,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2 Gale Parkway,Vallejo,CA,94589,33.998200,-84.341100,11036336.88,7054.53,8841.23,8,5,,22
281,id luctus nec,Zathin,38,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,02 Monterey Alley,Torrance,CA,90505,37.680800,-97.155800,8021260.00,2478.63,7173.04,5,2,,219
282,in faucibus,Lotstring,26,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",545 Quincy Junction,Salesville,OH,43778,38.296800,-81.554700,11390758.85,6701.70,1042.27,6,4,,70
283,praesent blandit lacinia,Domainer,62,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,37855 Almo Terrace,Cromwell,KY,42333,43.017400,-87.569700,18641613.44,6756.18,6317.77,10,3,,11
284,rutrum nulla,Cardify,81,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",78691 Dovetail Avenue,Houston,TX,77025,36.186600,-86.785200,15676973.55,2371.08,4047.55,6,3,,58
285,ridiculus mus,Bigtax,22,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",383 Bartelt Alley,Coal Valley,IL,61240,30.730900,-88.078900,8620969.00,3453.09,577.83,8,4,,202
286,cubilia curae,Konklux,27,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",34479 Goodland Trail,Wright,KS,67882,38.413400,-82.277400,3221070.65,4089.56,4642.65,10,3,,132
287,eget vulputate,Bitwolf,33,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",11 Lerdahl Circle,Pleasanton,NE,68866,26.411600,-80.092800,2368910.00,7080.22,4228.91,9,5,,275
288,aliquet ultrices,Y-Solowarm,47,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",35 Eagan Place,East Tawas,MI,48730,41.255300,-111.956700,16797725.27,7669.43,9539.40,8,3,,122
289,congue diam id,Quo Lux,98,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",71689 Susan Alley,Alexandria,KY,41001,37.957700,-121.289700,6434844.77,755.03,9903.85,10,3,,237
290,bibendum imperdiet nullam,Tres-Zap,86,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",84319 Fisk Place,Edinburg,TX,78540,35.551400,-97.407500,7647324.00,3497.98,2751.16,7,2,,50
291,integer,Prodder,67,Fusce consequat. Nulla nisl. Nunc nisl.,2 Clarendon Drive,Lake Lynn,PA,15451,38.961300,-94.822200,3390619.46,998.37,8094.89,7,5,,169
292,cubilia curae,Tempsoft,98,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",9048 Westport Junction,Evansville,IN,47736,40.294400,-76.893800,7844166.00,1384.99,3978.29,7,3,,23
293,nullam,Asoka,86,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",44280 Mitchell Road,Elkport,IA,52044,35.551400,-97.407500,23570918.45,7562.68,3272.29,7,3,,35
294,praesent,Bitwolf,66,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",8455 Milwaukee Terrace,Rochester,MI,48308,46.628800,-120.574000,13384718.21,2049.17,2513.09,10,3,,18
295,lectus,Treeflex,66,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",319 Sloan Terrace,Livonia,MI,48154,39.650500,-79.944000,19077968.60,3151.20,3838.82,8,3,,120
296,in,Alpha,90,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,27 Namekagon Pass,Mahopac Falls,NY,10542,32.797600,-79.949300,10483040.75,5487.98,8303.62,9,5,,250
301,vel nisl,Latlux,79,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",1 Michigan Circle,Monrovia,CA,91016,40.692000,-89.588700,1134864.73,3111.24,3214.72,7,5,,165
304,at velit,Lotstring,53,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",55 Arrowood Trail,Harvest,AL,35749,33.550800,-88.486500,12786058.20,4165.22,7766.07,9,4,,283
305,fusce consequat,Overhold,56,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",46443 Ridgeway Circle,Fishertown,PA,15539,27.891800,-82.724800,14985652.43,1914.11,1712.49,10,5,,266
307,odio porttitor,Fixflex,90,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3625 Red Cloud Lane,Arlington,VA,22214,33.762900,-84.422600,21076838.91,1773.08,850.76,6,3,,243
308,ornare consequat lectus,Holdlamis,58,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",36 Clove Center,Shidler,OK,74652,38.908700,-77.041400,24490049.78,6694.34,2326.33,8,4,,202
309,nisl venenatis,Asoka,82,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",79524 Ohio Road,Myers Flat,CA,95554,37.799000,-122.233700,29838787.36,1062.87,6717.12,8,2,,202
310,egestas metus,Gembucket,87,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,768 Roxbury Junction,Austinville,VA,24312,32.084800,-110.712200,29667091.05,4818.58,3983.74,8,2,,16
311,commodo placerat praesent,Cookley,90,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",90658 Rutledge Parkway,Murray City,OH,43144,40.592700,-111.831000,25825598.53,1659.58,8197.36,7,5,,265
312,maecenas tristique,Zathin,68,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",9284 Straubel Alley,Douglas Flat,CA,95229,40.668100,-111.908300,5178094.00,4956.02,7047.22,9,2,,11
313,sed tincidunt,Cardify,30,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",4 Ridge Oak Trail,Baton Rouge,LA,70874,27.045900,-82.249100,21239023.36,2026.25,1177.27,8,2,,181
314,vitae,Span,23,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",9779 Westend Circle,Pigeon Forge,TN,37868,31.892500,-106.542600,4936457.00,1341.74,8945.73,8,4,,179
315,vestibulum ante,Quo Lux,37,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",8775 Memorial Point,Austin,TX,78712,29.437500,-98.461600,9705457.00,4950.35,6675.12,9,3,,105
316,vestibulum,Konklux,72,Sed ante. Vivamus tortor. Duis mattis egestas metus.,7963 Raven Road,Etna,CA,96027,35.125500,-90.042400,25090506.04,827.33,244.57,8,4,,170
514,rutrum nulla,Bamity,50,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",9033 Dovetail Pass,El Monte,CA,91735,38.893300,-77.014600,11742997.09,3248.89,8955.89,7,5,,109
321,non,Zamit,95,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4 Onsgard Plaza,Westerville,OH,43082,36.027500,-80.207300,20488274.15,3305.00,3911.89,7,2,,233
322,pellentesque eget nunc,Gembucket,57,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,59995 Bashford Way,Novato,CA,94945,33.161700,-87.514400,19919147.21,5441.39,4966.49,7,2,,149
323,aenean,Keylex,53,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,26634 Anniversary Junction,Salt Lake City,UT,84165,32.354400,-86.284300,26292532.99,4461.00,633.08,9,2,,74
324,sed vel,Zontrax,60,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",3 Del Sol Pass,Columbus City,IA,52737,38.866700,-77.016600,16113001.20,2678.29,7002.09,8,2,,69
325,sit amet,Rank,26,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",55 Sundown Park,Denton,MT,59430,39.746700,-104.838400,20554330.13,7321.29,1538.87,9,5,,36
326,ligula suspendisse ornare,Gembucket,27,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",0 Sugar Avenue,Vancleave,MS,39565,33.276500,-112.187200,25764794.19,5757.04,5312.48,7,5,,148
327,a suscipit,Voltsillam,79,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",3 Sage Court,Moores Hill,IN,47032,32.767300,-96.777600,25923546.07,4130.29,487.59,9,3,,10
328,ante ipsum,Cardguard,97,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1046 Forest Run Parkway,Liberty,IN,47353,37.929000,-87.660400,8401647.00,1522.34,1073.31,5,2,,246
329,non velit nec,Bitwolf,78,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,0399 Del Mar Parkway,Russellville,TN,37860,35.188500,-101.816500,3815609.85,5236.44,830.02,7,3,,282
330,justo morbi,Tampflex,37,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",139 Northridge Circle,Wickes,AR,71973,38.893300,-77.014600,11758656.99,2400.55,1298.95,6,2,,197
331,amet nunc,Ventosanzap,56,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",185 Annamark Junction,East Millsboro,PA,15433,43.524000,-96.734100,3860109.72,1003.80,5119.74,10,4,,229
332,vivamus,Bamity,20,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",79641 Calypso Pass,Fpo,AP,96578,33.918700,-117.889200,13683823.04,3263.19,8529.69,5,4,,189
333,sed,Duobam,29,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",70551 Spohn Point,San Diego,CA,92117,37.784800,-122.727800,19606704.15,6625.25,2275.46,7,2,,197
334,sem duis aliquam,Home Ing,70,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",24 Annamark Street,Prairie View,KS,67664,41.826700,-71.397700,3364546.74,1173.12,2814.58,6,5,,281
335,convallis,Quo Lux,100,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",8417 Karstens Road,Gordon,WI,54838,35.133400,-90.004600,24279922.07,2638.65,1381.84,9,3,,60
336,nec euismod scelerisque,Home Ing,97,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",28 Stephen Road,Spurgeon,IN,47584,39.166800,-84.538200,25535354.13,2820.56,3013.69,10,5,,35
337,sociis natoque,Keylex,92,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",436 Basil Road,Pineville,SC,29468,29.156500,-82.209500,28587544.64,1357.51,2419.48,7,4,,232
340,integer,Duobam,52,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",44657 Clemons Parkway,Boonville,CA,95415,36.579900,-82.573300,8162387.00,3114.94,235.84,6,3,,203
343,morbi odio odio,Fixflex,67,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",044 Autumn Leaf Drive,Edwardsport,IN,47528,41.980400,-91.709800,28982580.82,4900.20,4520.53,8,3,,68
344,tincidunt,Trippledex,60,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",2207 Carey Plaza,Madison,GA,30650,32.458900,-93.714300,20972641.31,7334.76,5619.26,6,5,,105
345,sit,Aerified,85,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",8964 Barby Road,Clearlake,WA,98235,30.656800,-97.602600,15204883.10,3296.44,9147.57,6,2,,240
347,pellentesque eget nunc,Span,59,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",7 Sommers Avenue,Clifton,TX,76634,30.671000,-88.126700,8571194.00,2224.34,6931.03,10,3,,290
348,hac habitasse platea,Transcof,29,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1 Moland Drive,Shreveport,LA,71104,32.742300,-117.094700,17966665.16,1593.59,7066.11,10,4,,139
349,in,Fintone,86,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",64 Mandrake Terrace,Cyrus,MN,56323,34.513700,-92.968500,25153170.57,3592.52,7920.74,7,5,,255
350,volutpat,Viva,99,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,89529 Birchwood Drive,Edwards,CO,81632,41.939900,-87.652800,6698320.00,7036.13,3805.54,6,3,,65
351,eu mi,Stronghold,95,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",7176 Eggendart Park,Miami,FL,33163,33.844400,-84.474000,17803293.71,950.30,578.34,5,3,,1
352,sed augue aliquam,Greenlam,55,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",56 Doe Crossing Terrace,Absaraka,ND,58002,41.811900,-87.687300,4851082.00,6996.38,3375.61,9,4,,11
353,sapien dignissim vestibulum,Stim,39,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",97 Sloan Hill,Willacoochee,GA,31650,43.042100,-76.104600,10856376.41,5272.08,2719.03,10,4,,15
354,nibh in,Konklux,49,Sed ante. Vivamus tortor. Duis mattis egestas metus.,22519 Hoard Road,Cornland,IL,62519,32.767300,-96.777600,27787773.73,5611.37,2236.34,7,2,,253
355,cursus urna ut,Daltfresh,85,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",0968 American Ash Court,Palmyra,NY,14522,36.746400,-119.639700,8010500.60,5990.44,5333.98,10,5,,39
356,tempor convallis,Cardguard,26,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",15 Riverside Court,Wichita,KS,67203,42.469400,-70.972800,28897032.37,1828.79,9810.51,7,3,,234
829,interdum,Asoka,45,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",11 North Way,Fries,VA,24330,39.842200,-105.109700,13036704.16,5632.04,7597.43,8,2,,94
361,morbi sem,Matsoft,47,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,23686 Mockingbird Parkway,Kansas City,MO,64149,35.082100,-89.850100,17108687.61,2230.65,3164.51,8,4,,176
362,luctus et ultrices,Otcom,32,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",573 Vahlen Terrace,Daisy,GA,30423,33.786600,-118.298700,21866601.73,2650.04,2378.08,9,5,,196
363,mauris,Fintone,49,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,999 Mandrake Crossing,Kingston,OK,73439,35.245400,-101.999000,20360911.93,5503.94,182.37,8,5,,152
364,pede,Asoka,70,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",26213 Lake View Point,Tallahassee,FL,32302,41.596800,-86.293000,22267749.59,1232.47,1614.83,7,4,,137
366,vestibulum,Sub-Ex,25,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,7 Brickson Park Way,Ranchos De Taos,NM,87557,26.966800,-81.954500,17069028.80,1693.83,8914.92,10,5,,202
367,consequat,Viva,61,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",36 Daystar Street,Oglesby,IL,61348,39.035000,-94.356700,15134651.25,7650.10,5588.96,9,2,,295
368,dui vel,Tres-Zap,95,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",25861 Sloan Point,Hughsonville,NY,12537,43.052800,-87.935300,3781063.88,5357.10,7814.75,9,4,,147
369,justo aliquam quis,Cardguard,90,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",8 La Follette Pass,Sherwood,ND,58782,41.240500,-80.844100,28840695.59,7228.46,1431.62,6,5,,240
